lat;lon;validdate;t_2m:C;relative_humidity_2m:p;wind_speed_10m:kmh;air_density_10m:kgm3;precip_24h:mm;co:ugm3
37.008677;-91.154853;2020-04-09T12:00:00Z;8.8;64.7;10.5;1.213;0.12;117.496
37.008677;-91.154853;2020-04-10T12:00:00Z;1.3;52.1;9.5;1.256;0.00;110.673
37.008677;-91.154853;2020-04-11T12:00:00Z;4.5;64.5;9.6;1.231;0.00;141.557
37.008677;-91.154853;2020-04-12T12:00:00Z;11.5;99.9;11.5;1.187;6.58;133.224
37.008677;-91.154853;2020-04-13T12:00:00Z;1.1;60.7;23.3;1.249;10.13;128.922
37.008677;-91.154853;2020-04-14T12:00:00Z;1.7;95.7;7.3;1.257;2.91;137.714
37.008677;-91.154853;2020-04-15T12:00:00Z;1.5;67.8;12.3;1.250;0.02;155.681
37.008677;-91.154853;2020-04-16T12:00:00Z;1.0;63.9;9.1;1.259;0.23;168.779
37.008677;-91.154853;2020-04-17T12:00:00Z;9.8;71.7;11.6;1.207;1.12;150.823
37.008677;-91.154853;2020-04-18T12:00:00Z;-0.4;87.4;7.3;1.261;2.99;159.960
37.008677;-91.154853;2020-04-19T12:00:00Z;8.0;99.6;5.9;1.206;4.88;163.095
37.008677;-91.154853;2020-04-20T12:00:00Z;6.4;88.3;8.3;1.214;0.33;167.153
37.008677;-91.154853;2020-04-21T12:00:00Z;9.5;87.6;13.7;1.204;7.02;153.984
37.008677;-91.154853;2020-04-22T12:00:00Z;8.7;58.8;9.9;1.212;0.00;140.501
37.008677;-91.154853;2020-04-23T12:00:00Z;11.8;100.0;9.5;1.180;15.83;139.170
37.008677;-91.154853;2020-04-24T12:00:00Z;7.8;92.3;6.5;1.205;1.12;215.147
37.008677;-91.154853;2020-04-25T12:00:00Z;11.5;99.9;4.8;1.183;14.53;138.365
37.008677;-91.154853;2020-04-26T12:00:00Z;6.0;78.2;12.0;1.230;3.44;117.534
37.008677;-91.154853;2020-04-27T12:00:00Z;10.1;70.6;10.1;1.214;0.11;163.904
37.008677;-91.154853;2020-04-28T12:00:00Z;12.7;92.0;11.8;1.192;1.91;142.997
37.008677;-91.154853;2020-04-29T12:00:00Z;11.9;92.3;17.1;1.187;13.24;133.801
37.008677;-91.154853;2020-04-30T12:00:00Z;9.3;73.5;15.0;1.208;3.46;126.817
37.008677;-91.154853;2020-05-01T12:00:00Z;8.5;84.9;1.6;1.211;0.00;200.280
37.008677;-91.154853;2020-05-02T12:00:00Z;15.0;81.9;10.1;1.183;0.00;137.214
37.008677;-91.154853;2020-05-03T12:00:00Z;18.5;89.1;10.2;1.164;0.00;144.030
37.008677;-91.154853;2020-05-04T12:00:00Z;12.8;70.1;9.4;1.193;4.11;148.165
37.008677;-91.154853;2020-05-05T12:00:00Z;13.9;92.9;18.9;1.183;19.53;158.672
37.008677;-91.154853;2020-05-06T12:00:00Z;9.3;75.4;13.9;1.217;0.06;145.211
37.008677;-91.154853;2020-05-07T12:00:00Z;7.2;88.8;8.2;1.225;0.13;159.934
37.008677;-91.154853;2020-05-08T12:00:00Z;10.7;99.7;5.7;1.196;11.49;159.130
37.008677;-91.154853;2020-05-09T12:00:00Z;4.3;78.0;8.6;1.242;0.90;153.622
37.008677;-91.154853;2020-05-10T12:00:00Z;9.0;84.2;11.9;1.218;0.00;150.375
37.008677;-91.154853;2020-05-11T12:00:00Z;4.8;78.1;8.5;1.243;0.00;137.864
37.008677;-91.154853;2020-05-12T12:00:00Z;7.0;95.0;6.6;1.231;4.94;133.473
37.008677;-91.154853;2020-05-13T12:00:00Z;9.7;99.9;8.3;1.212;14.41;147.080
37.008677;-91.154853;2020-05-14T12:00:00Z;17.1;98.4;13.5;1.174;3.34;152.128
37.008677;-91.154853;2020-05-15T12:00:00Z;18.5;98.4;15.1;1.164;2.26;138.233
37.008677;-91.154853;2020-05-16T12:00:00Z;17.1;97.1;7.5;1.170;6.33;131.070
37.008677;-91.154853;2020-05-17T12:00:00Z;17.8;99.9;10.3;1.161;27.59;125.472
37.008677;-91.154853;2020-05-18T12:00:00Z;12.2;88.6;9.6;1.189;3.88;129.663
37.008677;-91.154853;2020-05-19T12:00:00Z;12.8;87.0;11.0;1.188;0.13;145.389
37.008677;-91.154853;2020-05-20T12:00:00Z;14.6;93.7;8.0;1.183;1.21;167.515
37.008677;-91.154853;2020-05-21T12:00:00Z;14.0;94.7;8.0;1.188;0.47;142.427
37.008677;-91.154853;2020-05-22T12:00:00Z;15.3;97.2;8.5;1.179;3.44;174.656
37.008677;-91.154853;2020-05-23T12:00:00Z;18.4;98.0;12.5;1.164;12.68;152.896
37.008677;-91.154853;2020-05-24T12:00:00Z;19.1;91.0;10.3;1.163;0.00;154.122
37.008677;-91.154853;2020-05-25T12:00:00Z;19.7;91.8;9.3;1.159;1.92;146.812
37.008677;-91.154853;2020-05-26T12:00:00Z;20.2;83.9;13.5;1.155;4.83;130.659
37.008677;-91.154853;2020-05-27T12:00:00Z;18.5;100.0;5.2;1.162;10.85;145.074
37.008677;-91.154853;2020-05-28T12:00:00Z;17.0;96.1;7.1;1.169;12.93;161.564
37.008677;-91.154853;2020-05-29T12:00:00Z;16.6;95.5;13.9;1.176;4.96;138.511
37.008677;-91.154853;2020-05-30T12:00:00Z;13.1;87.4;6.3;1.199;0.00;126.115
37.008677;-91.154853;2020-05-31T12:00:00Z;14.6;84.1;6.4;1.194;0.00;129.798
37.008677;-90.942277;2020-03-15T12:00:00Z;2.5;80.8;13.0;1.264;22.31;144.251
37.008677;-90.942277;2020-03-16T12:00:00Z;2.2;82.2;7.5;1.257;0.00;155.537
37.008677;-90.942277;2020-03-17T12:00:00Z;5.6;98.0;9.3;1.239;13.24;152.420
37.008677;-90.942277;2020-03-18T12:00:00Z;7.7;99.7;8.1;1.220;3.24;176.691
37.008677;-90.942277;2020-03-19T12:00:00Z;16.0;99.8;13.9;1.178;7.73;104.122
37.008677;-90.942277;2020-03-20T12:00:00Z;15.0;86.4;13.9;1.185;26.32;114.020
37.008677;-90.942277;2020-03-21T12:00:00Z;2.8;66.1;10.1;1.262;0.00;133.554
37.008677;-90.942277;2020-03-22T12:00:00Z;1.6;80.8;8.1;1.261;0.32;161.271
37.008677;-90.942277;2020-03-23T12:00:00Z;5.4;96.3;7.1;1.234;9.00;170.010
37.008677;-90.942277;2020-03-24T12:00:00Z;6.1;86.3;12.9;1.225;0.05;191.498
37.008677;-90.942277;2020-03-25T12:00:00Z;6.8;96.8;5.4;1.223;14.93;192.660
37.008677;-90.942277;2020-03-26T12:00:00Z;8.6;97.7;11.2;1.205;0.00;185.488
37.008677;-90.942277;2020-03-27T12:00:00Z;16.0;90.2;9.5;1.167;0.00;144.744
37.008677;-90.942277;2020-03-28T12:00:00Z;20.2;81.6;15.9;1.151;0.46;140.273
37.008677;-90.942277;2020-03-29T12:00:00Z;9.1;58.1;18.8;1.212;14.66;124.739
37.008677;-90.942277;2020-03-30T12:00:00Z;6.9;76.2;7.1;1.229;0.00;144.158
37.008677;-90.942277;2020-03-31T12:00:00Z;8.2;99.0;5.7;1.215;16.49;121.770
37.008677;-90.942277;2020-04-01T12:00:00Z;3.4;91.1;8.1;1.240;1.84;158.370
37.008677;-90.942277;2020-04-02T12:00:00Z;7.3;77.5;9.6;1.224;0.00;167.493
37.008677;-90.942277;2020-04-03T12:00:00Z;10.9;95.7;7.3;1.205;5.13;160.431
37.008677;-90.942277;2020-04-04T12:00:00Z;6.7;93.2;12.8;1.228;2.68;141.611
37.008677;-90.942277;2020-04-05T12:00:00Z;7.1;93.2;3.5;1.225;3.61;160.490
37.008677;-90.942277;2020-04-06T12:00:00Z;8.8;96.0;6.8;1.215;0.13;199.227
37.008677;-90.942277;2020-04-07T12:00:00Z;14.8;97.4;9.6;1.181;1.13;167.339
37.008677;-90.942277;2020-04-08T12:00:00Z;15.9;97.1;8.2;1.170;0.55;141.764
37.008677;-90.942277;2020-04-09T12:00:00Z;8.9;63.7;10.5;1.214;0.20;117.453
37.008677;-90.942277;2020-04-10T12:00:00Z;1.5;50.5;10.2;1.257;0.00;110.774
37.008677;-90.942277;2020-04-11T12:00:00Z;4.5;65.7;10.1;1.234;0.00;144.940
37.008677;-90.942277;2020-04-12T12:00:00Z;11.5;99.4;11.2;1.190;5.43;132.751
37.008677;-90.942277;2020-04-13T12:00:00Z;1.4;61.7;22.4;1.249;10.69;128.409
37.008677;-90.942277;2020-04-14T12:00:00Z;1.9;94.6;6.5;1.258;2.83;137.542
37.008677;-90.942277;2020-04-15T12:00:00Z;0.9;68.4;11.3;1.255;0.02;156.504
37.008677;-90.942277;2020-04-16T12:00:00Z;1.5;60.0;10.1;1.259;0.31;168.564
37.008677;-90.942277;2020-04-17T12:00:00Z;9.5;71.2;11.9;1.210;0.78;153.560
37.008677;-90.942277;2020-04-18T12:00:00Z;-0.1;85.9;7.2;1.262;2.88;160.746
37.008677;-90.942277;2020-04-19T12:00:00Z;8.0;98.6;7.4;1.209;4.80;161.624
37.008677;-90.942277;2020-04-20T12:00:00Z;6.6;80.9;8.5;1.215;0.34;166.604
37.008677;-90.942277;2020-04-21T12:00:00Z;9.5;89.1;13.1;1.206;8.95;154.621
37.008677;-90.942277;2020-04-22T12:00:00Z;9.0;55.5;10.2;1.213;0.00;144.586
37.008677;-90.942277;2020-04-23T12:00:00Z;11.8;100.0;10.6;1.183;14.28;139.833
